gene_id	gene_name	gene_type	mean_expression	median_expression
ENSG00000005381.8	MPO	protein_coding	191482.9	61730.0
ENSG00000005421.9	PON1	protein_coding	4.576255	1.0
ENSG00000005436.14	GCFC2	protein_coding	534.81274	456.0
ENSG00000005448.17	WDR54	protein_coding	316.0801	215.5
ENSG00000005469.12	CROT	protein_coding	188.02316	151.0
ENSG00000005471.19	ABCB4	protein_coding	66.85811	35.0
ENSG00000005483.21	KMT2E	protein_coding	11263.194	9546.5
ENSG00000005486.17	RHBDD2	protein_coding	1922.8407	1248.0
ENSG00000005513.10	SOX8	protein_coding	21.888031	7.0
ENSG00000005700.15	IBTK	protein_coding	2410.555	2216.5
ENSG00000005801.18	ZNF195	protein_coding	1667.5067	1437.5
ENSG00000005810.18	MYCBP2	protein_coding	10621.311	9796.0
ENSG00000005812.11	FBXL3	protein_coding	2070.666	1733.0
ENSG00000005844.19	ITGAL	protein_coding	7641.722	5494.0
ENSG00000005882.12	PDK2	protein_coding	427.70367	310.5
ENSG00000005884.18	ITGA3	protein_coding	118.802124	46.0
ENSG00000005889.16	ZFX	protein_coding	3501.4333	3225.0
ENSG00000005893.16	LAMP2	protein_coding	8989.283	7814.5
ENSG00000005961.19	ITGA2B	protein_coding	4366.692	812.0
ENSG00000005981.13	ASB4	protein_coding	0.50482625	0.0
ENSG00000006007.12	GDE1	protein_coding	2721.387	2312.5
ENSG00000006015.18	REX1BD	protein_coding	1075.0907	714.0
ENSG00000006016.11	CRLF1	protein_coding	17.878378	16.0
ENSG00000006025.12	OSBPL7	protein_coding	1297.527	1150.0
ENSG00000006042.12	TMEM98	protein_coding	43.612934	4.0
ENSG00000006047.13	YBX2	protein_coding	50.11776	10.0
ENSG00000006059.4	KRT33A	protein_coding	0.10521235	0.0
ENSG00000006062.17	MAP3K14	protein_coding	979.7983	787.0
ENSG00000006071.15	ABCC8	protein_coding	12.822393	2.0
ENSG00000006116.4	CACNG3	protein_coding	1.5859073	0.0
ENSG00000006118.15	TMEM132A	protein_coding	226.42567	63.0
ENSG00000006125.18	AP2B1	protein_coding	9149.257	8364.0
ENSG00000006128.12	TAC1	protein_coding	0.24903475	0.0
ENSG00000006194.10	ZNF263	protein_coding	1231.9227	1137.5
ENSG00000006210.7	CX3CL1	protein_coding	2.6032817	1.0
ENSG00000006282.21	SPATA20	protein_coding	1636.5309	1268.0
ENSG00000006283.18	CACNA1G	protein_coding	11.0559845	6.0
ENSG00000006327.14	TNFRSF12A	protein_coding	484.7384	237.0
ENSG00000006377.11	DLX6	protein_coding	3.065637	0.0
ENSG00000006432.15	MAP3K9	protein_coding	187.94208	101.0
ENSG00000006451.8	RALA	protein_coding	1711.6515	1292.0
ENSG00000006453.14	BAIAP2L1	protein_coding	211.5917	150.5
ENSG00000006459.11	KDM7A	protein_coding	3236.2817	2256.5
ENSG00000006468.14	ETV1	protein_coding	22.128378	3.0
ENSG00000006530.18	AGK	protein_coding	967.1448	906.0
ENSG00000006534.16	ALDH3B1	protein_coding	2988.3127	2135.5
ENSG00000006555.11	TTC22	protein_coding	53.472008	24.0
ENSG00000006576.16	PHTF2	protein_coding	1451.1815	1368.0
ENSG00000006606.9	CCL26	protein_coding	1.7007722	0.0
ENSG00000006607.14	FARP2	protein_coding	1205.0366	1037.5
ENSG00000006611.17	USH1C	protein_coding	8.171815	0.0
ENSG00000006625.18	GGCT	protein_coding	274.52798	176.0
ENSG00000006634.8	DBF4	protein_coding	1260.7142	1020.0
ENSG00000006638.13	TBXA2R	protein_coding	251.07047	123.0
ENSG00000006652.15	IFRD1	protein_coding	2203.8176	1598.0
ENSG00000006659.13	LGALS14	protein_coding	1.1196911	0.0
ENSG00000006695.12	COX10	protein_coding	647.3871	579.5
ENSG00000006704.11	GTF2IRD1	protein_coding	151.80888	68.0
ENSG00000006712.15	PAF1	protein_coding	2070.1768	1807.0
ENSG00000006715.16	VPS41	protein_coding	2023.3513	1780.0
ENSG00000006740.17	ARHGAP44	protein_coding	87.07722	24.0
ENSG00000006744.19	ELAC2	protein_coding	2483.4258	2237.5
ENSG00000006747.15	SCIN	protein_coding	21.638996	4.5
ENSG00000006756.16	ARSD	protein_coding	1849.8658	1432.0
ENSG00000006757.12	PNPLA4	protein_coding	210.0444	145.0
ENSG00000006788.14	MYH13	protein_coding	2.9362934	0.0
ENSG00000006831.10	ADIPOR2	protein_coding	2916.7974	2645.5
ENSG00000006837.12	CDKL3	protein_coding	21.745174	19.0
ENSG00000007001.13	UPP2	protein_coding	21.932432	5.0
ENSG00000007038.11	PRSS21	protein_coding	801.5164	89.5
ENSG00000007047.15	MARK4	protein_coding	1969.669	1695.0
ENSG00000007062.12	PROM1	protein_coding	2918.9595	884.5
ENSG00000007080.11	CCDC124	protein_coding	866.13995	588.5
ENSG00000007129.18	CEACAM21	protein_coding	358.44788	237.0
ENSG00000007168.14	PAFAH1B1	protein_coding	5347.502	5192.5
ENSG00000007171.18	NOS2	protein_coding	6.357143	2.0
ENSG00000007174.18	DNAH9	protein_coding	13.736486	11.0
ENSG00000007202.15	KIAA0100	protein_coding	8980.108	8502.0
ENSG00000007216.15	SLC13A2	protein_coding	0.96332043	0.0
ENSG00000007237.19	GAS7	protein_coding	8726.543	6581.5
ENSG00000007255.10	TRAPPC6A	protein_coding	655.749	453.0
ENSG00000007264.15	MATK	protein_coding	1210.6158	823.5
ENSG00000007306.15	CEACAM7	protein_coding	0.70173746	0.0
ENSG00000007312.13	CD79B	protein_coding	265.7249	145.0
ENSG00000007314.12	SCN4A	protein_coding	48.887066	23.0
ENSG00000007341.19	ST7L	protein_coding	1048.9518	978.0
ENSG00000007350.17	TKTL1	protein_coding	647.16797	41.0
ENSG00000007372.24	PAX6	protein_coding	7.8667955	3.0
ENSG00000007376.8	RPUSD1	protein_coding	808.95654	677.5
ENSG00000007384.15	RHBDF1	protein_coding	331.43918	111.0
ENSG00000007392.17	LUC7L	protein_coding	3198.0637	3127.0
ENSG00000007402.12	CACNA2D2	protein_coding	207.81853	70.0
ENSG00000007516.14	BAIAP3	protein_coding	395.34653	190.0
ENSG00000007520.4	TSR3	protein_coding	509.50388	394.0
ENSG00000007541.17	PIGQ	protein_coding	1736.4556	1057.0
ENSG00000007545.16	CRAMP1	protein_coding	1314.3523	1141.5
ENSG00000007866.22	TEAD3	protein_coding	70.12645	31.0
ENSG00000007908.16	SELE	protein_coding	10.565637	2.0
ENSG00000007923.16	DNAJC11	protein_coding	888.91504	765.0
ENSG00000007933.13	FMO3	protein_coding	6.184363	1.0
ENSG00000007944.15	MYLIP	protein_coding	4539.581	3718.5
ENSG00000007952.18	NOX1	protein_coding	4.718147	3.0
ENSG00000007968.7	E2F2	protein_coding	2976.0347	1201.0
ENSG00000008018.9	PSMB1	protein_coding	3827.052	2807.0
ENSG00000008056.14	SYN1	protein_coding	166.49904	43.0
ENSG00000008083.14	JARID2	protein_coding	10372.184	9070.0
ENSG00000008086.13	CDKL5	protein_coding	287.34653	145.0
ENSG00000008118.10	CAMK1G	protein_coding	21.798262	3.0
ENSG00000008128.23	CDK11A	protein_coding	252.87451	223.0
ENSG00000008130.15	NADK	protein_coding	4777.0957	3492.0
ENSG00000008196.13	TFAP2B	protein_coding	1.1505791	0.0
ENSG00000008197.5	TFAP2D	protein_coding	0.6438224	0.0
ENSG00000008226.20	DLEC1	protein_coding	477.8195	343.5
ENSG00000008256.16	CYTH3	protein_coding	915.889	685.5
ENSG00000008277.14	ADAM22	protein_coding	289.56177	220.0
ENSG00000008282.9	SYPL1	protein_coding	3526.1748	2911.5
ENSG00000008283.16	CYB561	protein_coding	607.4276	435.0
ENSG00000008294.21	SPAG9	protein_coding	6967.4834	5935.0
ENSG00000008300.17	CELSR3	protein_coding	508.14575	296.5
ENSG00000008311.15	AASS	protein_coding	145.24614	20.0
ENSG00000008323.15	PLEKHG6	protein_coding	231.28378	170.0
ENSG00000008324.12	SS18L2	protein_coding	531.1023	397.0
ENSG00000008382.16	MPND	protein_coding	314.43918	263.5
ENSG00000008394.13	MGST1	protein_coding	2793.1873	1251.0
ENSG00000008405.12	CRY1	protein_coding	878.37354	710.5
ENSG00000008438.5	PGLYRP1	protein_coding	2421.671	176.0
ENSG00000008441.18	NFIX	protein_coding	3699.6333	2123.0
ENSG00000008513.16	ST3GAL1	protein_coding	5736.773	4965.5
ENSG00000008516.17	MMP25	protein_coding	1241.8851	299.0
ENSG00000008517.18	IL32	protein_coding	395.50388	158.5
ENSG00000008710.20	PKD1	protein_coding	4171.7324	3606.5
ENSG00000008735.14	MAPK8IP2	protein_coding	27.046331	16.0
ENSG00000008838.20	MED24	protein_coding	3319.639	3037.0
ENSG00000008853.17	RHOBTB2	protein_coding	385.27316	306.0
ENSG00000008869.12	HEATR5B	protein_coding	4337.6147	3900.5
ENSG00000008952.17	SEC62	protein_coding	4356.364	3629.0
ENSG00000008988.11	RPS20	protein_coding	37702.44	22531.5
ENSG00000009307.16	CSDE1	protein_coding	31091.05	28445.0
ENSG00000009335.18	UBE3C	protein_coding	3205.0134	3100.0
ENSG00000009413.16	REV3L	protein_coding	2795.5945	2579.0
ENSG00000009694.13	TENM1	protein_coding	673.01544	334.5
ENSG00000009709.12	PAX7	protein_coding	5.071429	0.0
ENSG00000009724.17	MASP2	protein_coding	545.09076	496.0
ENSG00000009765.15	IYD	protein_coding	1.8667954	1.0
ENSG00000009780.16	FAM76A	protein_coding	568.7664	514.0
ENSG00000009790.15	TRAF3IP3	protein_coding	2207.2366	1679.5
ENSG00000009830.12	POMT2	protein_coding	629.2384	544.0
ENSG00000009844.16	VTA1	protein_coding	1307.0319	1069.0
ENSG00000009950.16	MLXIPL	protein_coding	59.75579	18.0
ENSG00000009954.11	BAZ1B	protein_coding	4657.358	4349.0
ENSG00000010017.13	RANBP9	protein_coding	3826.443	3409.0
ENSG00000010030.14	ETV7	protein_coding	38.73166	11.0
ENSG00000010072.16	SPRTN	protein_coding	861.2626	746.0
ENSG00000010165.20	EEF1AKNMT	protein_coding	785.0666	538.5
ENSG00000010219.13	DYRK4	protein_coding	257.48166	185.0
ENSG00000010244.19	ZNF207	protein_coding	14779.173	14264.0
ENSG00000010256.11	UQCRC1	protein_coding	4142.4653	3433.0
ENSG00000010270.14	STARD3NL	protein_coding	1846.8456	1510.5
ENSG00000010278.15	CD9	protein_coding	1693.5714	705.0
ENSG00000010282.15	HHATL	protein_coding	1.9768339	1.0
ENSG00000010292.13	NCAPD2	protein_coding	4041.4392	3182.5
ENSG00000010295.20	IFFO1	protein_coding	1342.8765	1106.5
ENSG00000010310.9	GIPR	protein_coding	145.86197	46.0
ENSG00000010318.21	PHF7	protein_coding	623.2259	535.0
ENSG00000010319.7	SEMA3G	protein_coding	64.6554	18.0
ENSG00000010322.16	NISCH	protein_coding	5519.1816	5090.0
ENSG00000010327.10	STAB1	protein_coding	19232.479	5232.5
ENSG00000010361.14	FUZ	protein_coding	363.94305	311.5
ENSG00000010379.16	SLC6A13	protein_coding	71.23456	8.0
ENSG00000010404.18	IDS	protein_coding	1548.3369	1292.0
ENSG00000010438.17	PRSS3	protein_coding	10.431467	3.5
ENSG00000010539.12	ZNF200	protein_coding	226.64671	194.5
ENSG00000010610.10	CD4	protein_coding	4871.2065	2056.0
ENSG00000010626.15	LRRC23	protein_coding	263.99902	220.0
ENSG00000010671.16	BTK	protein_coding	3972.084	3191.0
ENSG00000010704.18	HFE	protein_coding	53.898647	28.0
ENSG00000010803.16	SCMH1	protein_coding	1979.0936	1671.5
ENSG00000010810.17	FYN	protein_coding	2767.7366	2142.5
ENSG00000010818.10	HIVEP2	protein_coding	1874.8503	1307.0
ENSG00000010932.17	FMO1	protein_coding	8.02027	5.0
ENSG00000011007.12	ELOA	protein_coding	2039.89	1751.5
ENSG00000011009.11	LYPLA2	protein_coding	1396.0193	1202.0
ENSG00000011021.23	CLCN6	protein_coding	2064.6863	1790.0
ENSG00000011028.14	MRC2	protein_coding	2098.1023	858.0
ENSG00000011052.21	NME1-NME2	protein_coding	0.0	0.0
ENSG00000011083.9	SLC6A7	protein_coding	8.278957	3.0
ENSG00000011105.14	TSPAN9	protein_coding	99.25483	29.0
ENSG00000011114.15	BTBD7	protein_coding	1805.2789	1693.5
ENSG00000011132.12	APBA3	protein_coding	574.5599	497.5
ENSG00000011143.19	MKS1	protein_coding	354.7249	270.0
ENSG00000011198.10	ABHD5	protein_coding	2220.3271	1530.0
ENSG00000011201.12	ANOS1	protein_coding	23.03475	1.0
ENSG00000011243.18	AKAP8L	protein_coding	3067.4026	2742.5
ENSG00000011258.16	MBTD1	protein_coding	2570.6738	2389.0
ENSG00000011260.14	UTP18	protein_coding	1494.3002	1418.5
ENSG00000011275.19	RNF216	protein_coding	3907.7866	3712.0
ENSG00000011295.16	TTC19	protein_coding	2808.4875	2710.5
ENSG00000011304.22	PTBP1	protein_coding	13200.681	11084.5
ENSG00000011332.19	DPF1	protein_coding	52.65444	31.0
ENSG00000011347.10	SYT7	protein_coding	3.984556	2.0
ENSG00000011376.12	LARS2	protein_coding	1317.5482	1279.0
ENSG00000011405.13	PIK3C2A	protein_coding	2839.7673	2631.0
ENSG00000011422.12	PLAUR	protein_coding	6232.029	3392.5
ENSG00000011426.11	ANLN	protein_coding	1319.6284	976.5
ENSG00000011451.21	WIZ	protein_coding	1971.4353	1732.0
ENSG00000011454.18	RABGAP1	protein_coding	1907.8436	1770.0
ENSG00000011465.18	DCN	protein_coding	40.14382	6.0
ENSG00000011478.13	QPCTL	protein_coding	564.52026	479.5
ENSG00000011485.15	PPP5C	protein_coding	1157.3832	892.5
ENSG00000011523.14	CEP68	protein_coding	2327.4536	2259.0
ENSG00000011566.15	MAP4K3	protein_coding	1384.0135	1114.5
ENSG00000011590.14	ZBTB32	protein_coding	70.1554	52.0
ENSG00000011600.12	TYROBP	protein_coding	8745.169	4067.5
ENSG00000011638.11	TMEM159	protein_coding	537.9025	450.0
ENSG00000011677.13	GABRA3	protein_coding	1.8832046	0.0
ENSG00000012048.23	BRCA1	protein_coding	1228.7124	898.5
ENSG00000012061.16	ERCC1	protein_coding	1633.9768	1348.5
ENSG00000012124.17	CD22	protein_coding	602.251	309.5
ENSG00000012171.20	SEMA3B	protein_coding	145.26448	77.0
ENSG00000012174.12	MBTPS2	protein_coding	479.58688	433.0
ENSG00000012211.13	PRICKLE3	protein_coding	310.63416	251.0
ENSG00000012223.13	LTF	protein_coding	36521.28	1606.0
ENSG00000012232.9	EXTL3	protein_coding	1179.693	983.0
ENSG00000012504.15	NR1H4	protein_coding	0.6380309	0.0
ENSG00000012660.14	ELOVL5	protein_coding	4576.9893	4165.0
ENSG00000012779.11	ALOX5	protein_coding	4393.5664	1994.5
ENSG00000012817.16	KDM5D	protein_coding	3116.7983	446.0
ENSG00000012822.16	CALCOCO1	protein_coding	3470.4324	2939.5
ENSG00000012963.15	UBR7	protein_coding	1164.1959	1009.5
ENSG00000012983.11	MAP4K5	protein_coding	2402.8735	2177.5
ENSG00000013016.16	EHD3	protein_coding	562.7963	304.5
ENSG00000013275.8	PSMC4	protein_coding	2275.1748	1972.0
ENSG00000013288.9	MAN2B2	protein_coding	3270.1487	2829.5
ENSG00000013293.6	SLC7A14	protein_coding	2.3899615	1.0
ENSG00000013297.12	CLDN11	protein_coding	7.9092665	2.0
ENSG00000013306.16	SLC25A39	protein_coding	6846.9565	3081.5
ENSG00000013364.19	MVP	protein_coding	3261.1033	2446.0
ENSG00000013374.16	NUB1	protein_coding	2572.6748	2343.0
ENSG00000013375.16	PGM3	protein_coding	512.5232	458.0
ENSG00000013392.8	RWDD2A	protein_coding	68.181465	51.0
ENSG00000013441.16	CLK1	protein_coding	13194.839	11614.0
ENSG00000013503.10	POLR3B	protein_coding	328.81757	298.5
ENSG00000013523.11	ANGEL1	protein_coding	1020.96716	917.5
ENSG00000013561.18	RNF14	protein_coding	804.9942	654.0
ENSG00000013563.14	DNASE1L1	protein_coding	431.33203	377.0
ENSG00000013573.17	DDX11	protein_coding	1569.1863	1330.0
ENSG00000013583.10	HEBP1	protein_coding	1099.916	917.0
ENSG00000013588.9	GPRC5A	protein_coding	65.85907	10.0
ENSG00000013619.14	MAMLD1	protein_coding	121.27702	38.0
ENSG00000013725.14	CD6	protein_coding	2034.2152	715.5
ENSG00000013810.20	TACC3	protein_coding	4884.842	4426.5
ENSG00000014123.10	UFL1	protein_coding	1711.9672	1519.5
ENSG00000014138.9	POLA2	protein_coding	193.01738	173.0
ENSG00000014164.7	ZC3H3	protein_coding	2144.0134	1796.0
ENSG00000014216.16	CAPN1	protein_coding	7652.243	6609.5
ENSG00000014257.16	ACP3	protein_coding	810.09265	480.5
ENSG00000014641.21	MDH1	protein_coding	2072.2144	1683.5
ENSG00000014824.14	SLC30A9	protein_coding	1816.2433	1550.0
ENSG00000014914.21	MTMR11	protein_coding	565.24036	163.0
ENSG00000014919.13	COX15	protein_coding	917.3002	818.5
ENSG00000015133.19	CCDC88C	protein_coding	6119.0684	5625.5
ENSG00000015153.15	YAF2	protein_coding	2240.9875	2027.0
ENSG00000015171.20	ZMYND11	protein_coding	1734.3755	1298.5
ENSG00000015285.11	WAS	protein_coding	4148.361	2637.5
ENSG00000015413.9	DPEP1	protein_coding	67.16892	10.0
ENSG00000015475.19	BID	protein_coding	2296.307	1832.0
ENSG00000015479.20	MATR3	protein_coding	2108.6003	2052.0
ENSG00000015520.15	NPC1L1	protein_coding	27.212355	11.0
ENSG00000015532.10	XYLT2	protein_coding	891.11774	792.0
ENSG00000015568.13	RGPD5	protein_coding	39.043438	13.0
ENSG00000015592.16	STMN4	protein_coding	2.4517374	1.0
ENSG00000015676.18	NUDCD3	protein_coding	1951.9489	1757.5
ENSG00000016082.15	ISL1	protein_coding	1.4874518	0.0
ENSG00000016391.11	CHDH	protein_coding	38.944016	10.0
ENSG00000016402.13	IL20RA	protein_coding	1.5608108	0.0
ENSG00000016490.16	CLCA1	protein_coding	1.6515445	0.0
ENSG00000016602.9	CLCA4	protein_coding	1.2557915	0.0
ENSG00000016864.18	GLT8D1	protein_coding	877.71814	676.5
ENSG00000017260.20	ATP2C1	protein_coding	5488.49	4785.5
ENSG00000017427.17	IGF1	protein_coding	5.390927	2.0
ENSG00000017483.15	SLC38A5	protein_coding	1131.7732	734.5
ENSG00000017797.13	RALBP1	protein_coding	3325.0503	2995.0
ENSG00000018189.13	RUFY3	protein_coding	1473.3253	1283.0
ENSG00000018236.15	CNTN1	protein_coding	69.570465	2.0
ENSG00000018280.17	SLC11A1	protein_coding	4352.0703	1704.5
ENSG00000018408.15	WWTR1	protein_coding	37.605213	17.0
ENSG00000018510.17	AGPS	protein_coding	3138.6245	2624.0
ENSG00000018607.7	ZNF806	transcribed_unprocessed_pseudogene	0.8619691	0.0
ENSG00000018610.15	CXorf56	protein_coding	751.55597	701.5
ENSG00000018625.15	ATP1A2	protein_coding	5.681467	2.0
ENSG00000018699.13	TTC27	protein_coding	962.2626	668.5
ENSG00000018869.17	ZNF582	protein_coding	72.74228	61.0
ENSG00000019102.12	VSIG2	protein_coding	108.2693	64.0
ENSG00000019144.19	PHLDB1	protein_coding	267.6776	103.0
ENSG00000019169.10	MARCO	protein_coding	202.89575	28.0
ENSG00000019186.10	CYP24A1	protein_coding	2.253861	1.0
ENSG00000019485.13	PRDM11	protein_coding	682.3552	494.5
ENSG00000019505.8	SYT13	protein_coding	4.3320465	0.0
ENSG00000019549.13	SNAI2	protein_coding	11.946911	1.0
ENSG00000019582.15	CD74	protein_coding	96135.97	48483.0
ENSG00000019991.18	HGF	protein_coding	3007.5618	695.5
ENSG00000019995.6	ZRANB1	protein_coding	1427.2384	1277.0
ENSG00000020129.16	NCDN	protein_coding	807.999	641.5
ENSG00000020181.18	ADGRA2	protein_coding	1506.8195	726.5
ENSG00000020219.9	CCT8L1P	processed_pseudogene	6.135135	4.0
ENSG00000020256.20	ZFP64	protein_coding	447.67664	362.0
ENSG00000020426.11	MNAT1	protein_coding	308.73068	267.5
ENSG00000020577.14	SAMD4A	protein_coding	145.58977	90.0
ENSG00000020633.19	RUNX3	protein_coding	5090.7993	3206.0
ENSG00000020922.13	MRE11	protein_coding	2143.2876	2019.5
ENSG00000021300.14	PLEKHB1	protein_coding	185.26738	132.5
ENSG00000021355.13	SERPINB1	protein_coding	19926.904	16329.0
ENSG00000021461.17	CYP3A43	protein_coding	6.708494	4.0
ENSG00000021488.13	SLC7A9	protein_coding	7.968147	5.0
ENSG00000021574.13	SPAST	protein_coding	1623.1699	1520.5
ENSG00000021645.20	NRXN3	protein_coding	48.29537	8.0
ENSG00000021762.20	OSBPL5	protein_coding	3016.4219	2183.5
ENSG00000021776.11	AQR	protein_coding	2882.531	2867.0
ENSG00000021826.17	CPS1	protein_coding	30.671814	5.0
ENSG00000021852.13	C8B	protein_coding	0.753861	0.0
ENSG00000022267.19	FHL1	protein_coding	1511.474	720.5
ENSG00000022277.13	RTF2	protein_coding	2671.0125	2298.0
ENSG00000022355.18	GABRA1	protein_coding	2.7316601	0.0
ENSG00000022556.16	NLRP2	protein_coding	283.5753	86.5
ENSG00000022567.10	SLC45A4	protein_coding	1051.0348	770.5
ENSG00000022840.16	RNF10	protein_coding	13533.034	11006.0
ENSG00000022976.15	ZNF839	protein_coding	550.8533	546.5
ENSG00000023041.11	ZDHHC6	protein_coding	1278.6198	1156.5
ENSG00000023171.18	GRAMD1B	protein_coding	1147.9131	803.0
