gene_id	gene_name	gene_type	trimmed_mean_expression	median_expression	
ENSG00000003393.15	ALS2	protein_coding	14.106875	9.9122
ENSG00000003400.15	CASP10	protein_coding	26.992262	24.62355
ENSG00000003402.20	CFLAR	protein_coding	38.046913	36.5608
ENSG00000003436.16	TFPI	protein_coding	14.217553	8.0526
ENSG00000003509.16	NDUFAF7	protein_coding	12.254853	11.8716
ENSG00000003756.17	RBM5	protein_coding	59.0505	55.49965
ENSG00000003987.14	MTMR7	protein_coding	3.9893088	3.18575
ENSG00000003989.18	SLC7A2	protein_coding	0.44739327	0.060599998
ENSG00000004059.11	ARF5	protein_coding	91.23538	85.21675
ENSG00000004139.14	SARM1	protein_coding	2.1914885	1.6428001
ENSG00000004142.12	POLDIP2	protein_coding	66.86527	65.51515
ENSG00000004399.13	PLXND1	protein_coding	88.22069	72.79469
ENSG00000004455.17	AK2	protein_coding	59.02238	45.8342
ENSG00000004468.13	CD38	protein_coding	56.18884	36.8779
ENSG00000004478.8	FKBP4	protein_coding	27.857548	20.3708
ENSG00000004487.17	KDM1A	protein_coding	70.25944	67.641846
ENSG00000004534.15	RBM6	protein_coding	47.104763	43.1497
ENSG00000004660.15	CAMKK1	protein_coding	7.8919806	6.56775
ENSG00000004700.16	RECQL	protein_coding	15.769274	13.6481495
ENSG00000004766.17	VPS50	protein_coding	6.3047605	5.6982
ENSG00000004776.13	HSPB6	protein_coding	0.47232914	0.20865
ENSG00000004777.18	ARHGAP33	protein_coding	19.964937	18.078999
ENSG00000004779.10	NDUFAB1	protein_coding	33.605602	30.167648
ENSG00000004799.8	PDK4	protein_coding	4.8040857	1.29585
ENSG00000004809.14	SLC22A16	protein_coding	15.650733	13.283951
ENSG00000004838.14	ZMYND10	protein_coding	2.5618775	1.8765
ENSG00000004846.16	ABCB5	protein_coding	0.111996345	0.0279
ENSG00000004848.8	ARX	protein_coding	0.038051527	0.00955
ENSG00000004864.14	SLC25A13	protein_coding	21.739008	20.73365
ENSG00000004866.22	ST7	protein_coding	6.7365875	5.9705
ENSG00000004897.12	CDC27	protein_coding	42.568787	37.0648
ENSG00000004939.15	SLC4A1	protein_coding	345.94025	50.0043
ENSG00000004948.16	CALCR	protein_coding	0.0135604935	0.0
ENSG00000004961.15	HCCS	protein_coding	16.00878	14.87355
ENSG00000004975.12	DVL2	protein_coding	23.351744	22.34225
ENSG00000005001.10	PRSS22	protein_coding	0.1318926	0.0523
ENSG00000005007.13	UPF1	protein_coding	55.793987	52.56805
ENSG00000005020.13	SKAP2	protein_coding	42.24636	33.338852
ENSG00000005022.6	SLC25A5	protein_coding	408.16904	390.86517
ENSG00000005059.16	MCUB	protein_coding	18.33852	14.488649
ENSG00000005073.6	HOXA11	protein_coding	5.1501083	0.111949995
ENSG00000005075.15	POLR2J	protein_coding	42.51936	36.30465
ENSG00000005100.13	DHX33	protein_coding	14.602796	12.38415
ENSG00000005102.14	MEOX1	protein_coding	0.3159399	0.1058
ENSG00000005108.16	THSD7A	protein_coding	2.0081735	0.1262
ENSG00000005156.12	LIG3	protein_coding	21.836647	20.203949
ENSG00000005175.10	RPAP3	protein_coding	16.419395	15.16125
ENSG00000005187.12	ACSM3	protein_coding	22.517979	11.54155
ENSG00000005189.20	REXO5	protein_coding	14.900531	12.39485
ENSG00000005194.15	CIAPIN1	protein_coding	27.478405	25.865952
ENSG00000005206.17	SPPL2B	protein_coding	33.11634	29.9468
ENSG00000005238.20	FAM214B	protein_coding	25.221252	20.00055
ENSG00000005243.10	COPZ2	protein_coding	0.8934436	0.42815
ENSG00000005249.13	PRKAR2B	protein_coding	40.21228	25.580551
ENSG00000005302.19	MSL3	protein_coding	22.013557	20.79225
ENSG00000005339.15	CREBBP	protein_coding	67.64532	62.19765
ENSG00000005379.17	TSPOAP1	protein_coding	46.098434	33.88395
ENSG00000005381.8	MPO	protein_coding	3634.1492	1680.4819
ENSG00000005421.9	PON1	protein_coding	0.103087485	0.0202
ENSG00000005436.14	GCFC2	protein_coding	8.193406	7.08815
ENSG00000005448.17	WDR54	protein_coding	7.9340067	7.0223503
ENSG00000005469.12	CROT	protein_coding	3.1446474	2.6221
ENSG00000005471.19	ABCB4	protein_coding	0.75438213	0.39365
ENSG00000005483.21	KMT2E	protein_coding	95.45871	86.1992
ENSG00000005486.17	RHBDD2	protein_coding	59.864544	47.702797
ENSG00000005513.10	SOX8	protein_coding	0.3455355	0.14265001
ENSG00000005700.15	IBTK	protein_coding	23.950201	21.5397
ENSG00000005801.18	ZNF195	protein_coding	12.357789	10.54235
ENSG00000005810.18	MYCBP2	protein_coding	59.299644	51.9603
ENSG00000005812.11	FBXL3	protein_coding	24.337656	21.4867
ENSG00000005844.19	ITGAL	protein_coding	61.11271	48.96135
ENSG00000005882.12	PDK2	protein_coding	5.956741	5.0965
ENSG00000005884.18	ITGA3	protein_coding	0.89571434	0.40645
ENSG00000005889.16	ZFX	protein_coding	34.178856	31.0489
ENSG00000005893.16	LAMP2	protein_coding	78.081406	73.7926
ENSG00000005961.19	ITGA2B	protein_coding	46.441704	13.37045
ENSG00000005981.13	ASB4	protein_coding	0.0067623644	0.0
ENSG00000006007.12	GDE1	protein_coding	49.6562	47.201103
ENSG00000006015.18	REX1BD	protein_coding	21.232718	19.366951
ENSG00000006016.11	CRLF1	protein_coding	0.52510375	0.44195002
ENSG00000006025.12	OSBPL7	protein_coding	16.20218	15.12425
ENSG00000006042.12	TMEM98	protein_coding	0.37603015	0.06345
ENSG00000006047.13	YBX2	protein_coding	0.7613018	0.18535
ENSG00000006059.4	KRT33A	protein_coding	0.004287685	0.0
ENSG00000006062.17	MAP3K14	protein_coding	14.451689	11.97735
ENSG00000006071.15	ABCC8	protein_coding	0.05786404	0.015749998
ENSG00000006116.4	CACNG3	protein_coding	0.06311812	0.0
ENSG00000006118.15	TMEM132A	protein_coding	2.5230975	0.8111
ENSG00000006125.18	AP2B1	protein_coding	101.3476	99.135056
ENSG00000006128.12	TAC1	protein_coding	0.00972207	0.0
ENSG00000006194.10	ZNF263	protein_coding	16.151934	15.626101
ENSG00000006210.7	CX3CL1	protein_coding	0.03423192	0.0191
ENSG00000006282.21	SPATA20	protein_coding	24.871166	21.20625
ENSG00000006283.18	CACNA1G	protein_coding	0.08658906	0.048550002
ENSG00000006327.14	TNFRSF12A	protein_coding	20.290901	12.5272
ENSG00000006377.11	DLX6	protein_coding	0.029518424	0.0
ENSG00000006432.15	MAP3K9	protein_coding	1.2855562	0.70305
ENSG00000006451.8	RALA	protein_coding	39.017677	32.9211
ENSG00000006453.14	BAIAP2L1	protein_coding	3.7906392	2.66225
ENSG00000006459.11	KDM7A	protein_coding	29.544538	21.71605
ENSG00000006468.14	ETV1	protein_coding	0.13998955	0.02995
ENSG00000006530.18	AGK	protein_coding	7.8085966	7.3072
ENSG00000006534.16	ALDH3B1	protein_coding	34.448704	28.9843
ENSG00000006555.11	TTC22	protein_coding	0.6839211	0.3511
ENSG00000006576.16	PHTF2	protein_coding	14.533524	13.6238
ENSG00000006606.9	CCL26	protein_coding	0.12761459	0.0
ENSG00000006607.14	FARP2	protein_coding	7.243328	6.1133003
ENSG00000006611.17	USH1C	protein_coding	0.026272807	0.0
ENSG00000006625.18	GGCT	protein_coding	12.492076	10.7558
ENSG00000006634.8	DBF4	protein_coding	22.733425	19.73945
ENSG00000006638.13	TBXA2R	protein_coding	6.634195	3.8706
ENSG00000006652.15	IFRD1	protein_coding	23.546606	16.89915
ENSG00000006659.13	LGALS14	protein_coding	0.091912016	0.0
ENSG00000006695.12	COX10	protein_coding	7.8020344	7.38945
ENSG00000006704.11	GTF2IRD1	protein_coding	1.7741042	0.8854
ENSG00000006712.15	PAF1	protein_coding	58.757305	55.14975
ENSG00000006715.16	VPS41	protein_coding	22.820889	19.49645
ENSG00000006740.17	ARHGAP44	protein_coding	0.5661291	0.2272
ENSG00000006744.19	ELAC2	protein_coding	29.35996	28.10115
ENSG00000006747.15	SCIN	protein_coding	0.1071998	0.0342
ENSG00000006756.16	ARSD	protein_coding	21.554216	17.33665
ENSG00000006757.12	PNPLA4	protein_coding	4.5427833	3.78725
ENSG00000006788.14	MYH13	protein_coding	0.023954188	0.0
ENSG00000006831.10	ADIPOR2	protein_coding	42.51986	39.78545
ENSG00000006837.12	CDKL3	protein_coding	0.604471	0.51825
ENSG00000007001.13	UPP2	protein_coding	0.37390602	0.1351
ENSG00000007038.11	PRSS21	protein_coding	27.485611	3.8702502
ENSG00000007047.15	MARK4	protein_coding	23.75627	22.5674
ENSG00000007062.12	PROM1	protein_coding	31.961864	9.95065
ENSG00000007080.11	CCDC124	protein_coding	36.69984	32.508
ENSG00000007129.18	CEACAM21	protein_coding	14.112555	10.717051
ENSG00000007168.14	PAFAH1B1	protein_coding	34.33703	33.4712
ENSG00000007171.18	NOS2	protein_coding	0.06878176	0.0348
ENSG00000007174.18	DNAH9	protein_coding	0.07461025	0.05325
ENSG00000007202.15	KIAA0100	protein_coding	82.80155	80.0668
ENSG00000007216.15	SLC13A2	protein_coding	0.022220887	0.0
ENSG00000007237.19	GAS7	protein_coding	69.203476	58.1311
ENSG00000007255.10	TRAPPC6A	protein_coding	49.204735	44.74225
ENSG00000007264.15	MATK	protein_coding	22.308182	17.5627
ENSG00000007306.15	CEACAM7	protein_coding	0.013508966	0.0
ENSG00000007312.13	CD79B	protein_coding	9.090198	6.30375
ENSG00000007314.12	SCN4A	protein_coding	0.43024996	0.25774997
ENSG00000007341.19	ST7L	protein_coding	11.305911	10.4453
ENSG00000007350.17	TKTL1	protein_coding	6.0374026	0.97940004
ENSG00000007372.24	PAX6	protein_coding	0.02260877	0.0123
ENSG00000007376.8	RPUSD1	protein_coding	22.464304	21.601398
ENSG00000007384.15	RHBDF1	protein_coding	4.8358984	1.9184
ENSG00000007392.17	LUC7L	protein_coding	45.62663	43.382553
ENSG00000007402.12	CACNA2D2	protein_coding	2.2529235	0.9755
ENSG00000007516.14	BAIAP3	protein_coding	5.0670075	2.7879
ENSG00000007520.4	TSR3	protein_coding	31.460049	30.27685
ENSG00000007541.17	PIGQ	protein_coding	16.73792	12.2047
ENSG00000007545.16	CRAMP1	protein_coding	12.846028	11.3827
ENSG00000007866.22	TEAD3	protein_coding	1.7837341	0.9166
ENSG00000007908.16	SELE	protein_coding	0.15672196	0.04275
ENSG00000007923.16	DNAJC11	protein_coding	14.630232	13.16415
ENSG00000007933.13	FMO3	protein_coding	0.122405805	0.03775
ENSG00000007944.15	MYLIP	protein_coding	120.68805	105.436646
ENSG00000007952.18	NOX1	protein_coding	0.14702038	0.096750006
ENSG00000007968.7	E2F2	protein_coding	41.04216	18.1189
ENSG00000008018.9	PSMB1	protein_coding	126.869255	121.68315
ENSG00000008056.14	SYN1	protein_coding	1.9885824	1.07775
ENSG00000008083.14	JARID2	protein_coding	142.36156	128.72385
ENSG00000008086.13	CDKL5	protein_coding	1.2206043	0.7145
ENSG00000008118.10	CAMK1G	protein_coding	0.43208274	0.089
ENSG00000008128.23	CDK11A	protein_coding	4.3099523	3.9257498
ENSG00000008130.15	NADK	protein_coding	69.16217	52.57275
ENSG00000008196.13	TFAP2B	protein_coding	0.004251133	0.0
ENSG00000008197.5	TFAP2D	protein_coding	0.004135665	0.0
ENSG00000008226.20	DLEC1	protein_coding	5.0610247	3.80365
ENSG00000008256.16	CYTH3	protein_coding	12.625614	10.3006
ENSG00000008277.14	ADAM22	protein_coding	2.0429535	1.5939
ENSG00000008282.9	SYPL1	protein_coding	101.84372	92.1372
ENSG00000008283.16	CYB561	protein_coding	9.177678	7.0942
ENSG00000008294.21	SPAG9	protein_coding	51.452457	42.9134
ENSG00000008300.17	CELSR3	protein_coding	2.9168892	1.8927
ENSG00000008311.15	AASS	protein_coding	1.4139183	0.28805
ENSG00000008323.15	PLEKHG6	protein_coding	4.8455095	3.554
ENSG00000008324.12	SS18L2	protein_coding	12.61433	11.72085
ENSG00000008382.16	MPND	protein_coding	11.933228	11.0508995
ENSG00000008394.13	MGST1	protein_coding	25.15842	15.53805
ENSG00000008405.12	CRY1	protein_coding	15.504075	13.1388
ENSG00000008438.5	PGLYRP1	protein_coding	204.56818	22.0615
ENSG00000008441.18	NFIX	protein_coding	44.45649	28.86195
ENSG00000008513.16	ST3GAL1	protein_coding	53.881924	47.246048
ENSG00000008516.17	MMP25	protein_coding	19.866476	5.94865
ENSG00000008517.18	IL32	protein_coding	8.682987	4.3224497
ENSG00000008710.20	PKD1	protein_coding	18.949396	16.7255
ENSG00000008735.14	MAPK8IP2	protein_coding	0.30429617	0.2429
ENSG00000008838.20	MED24	protein_coding	38.971786	38.4968
ENSG00000008853.17	RHOBTB2	protein_coding	4.8406353	4.14855
ENSG00000008869.12	HEATR5B	protein_coding	45.98444	40.814598
ENSG00000008952.17	SEC62	protein_coding	44.998592	41.873848
ENSG00000008988.11	RPS20	protein_coding	375.69394	326.53412
ENSG00000009307.16	CSDE1	protein_coding	456.29102	445.54385
ENSG00000009335.18	UBE3C	protein_coding	30.018965	29.49675
ENSG00000009413.16	REV3L	protein_coding	19.908924	17.4382
ENSG00000009694.13	TENM1	protein_coding	4.552976	2.39855
ENSG00000009709.12	PAX7	protein_coding	0.009459507	0.0
ENSG00000009724.17	MASP2	protein_coding	11.724906	10.20425
ENSG00000009765.15	IYD	protein_coding	0.014289457	0.0094
ENSG00000009780.16	FAM76A	protein_coding	11.503102	10.955601
ENSG00000009790.15	TRAF3IP3	protein_coding	23.331808	18.381401
ENSG00000009830.12	POMT2	protein_coding	5.237344	4.87425
ENSG00000009844.16	VTA1	protein_coding	14.6188	13.107201
ENSG00000009950.16	MLXIPL	protein_coding	0.8515886	0.35355
ENSG00000009954.11	BAZ1B	protein_coding	56.375134	54.4355
ENSG00000010017.13	RANBP9	protein_coding	88.573105	81.8676
ENSG00000010030.14	ETV7	protein_coding	1.1279638	0.42984998
ENSG00000010072.16	SPRTN	protein_coding	12.268488	10.75115
ENSG00000010165.20	EEF1AKNMT	protein_coding	16.476528	11.3139
ENSG00000010219.13	DYRK4	protein_coding	2.6808386	2.3355498
ENSG00000010244.19	ZNF207	protein_coding	81.96387	77.60625
ENSG00000010256.11	UQCRC1	protein_coding	98.78709	96.277054
ENSG00000010270.14	STARD3NL	protein_coding	33.716763	32.17385
ENSG00000010278.15	CD9	protein_coding	20.038383	10.82
ENSG00000010282.15	HHATL	protein_coding	0.052791134	0.02355
ENSG00000010292.13	NCAPD2	protein_coding	49.24318	43.44845
ENSG00000010295.20	IFFO1	protein_coding	22.01622	19.20185
ENSG00000010310.9	GIPR	protein_coding	1.9705946	0.8534
ENSG00000010318.21	PHF7	protein_coding	15.183359	13.535151
ENSG00000010319.7	SEMA3G	protein_coding	0.8003712	0.3048
ENSG00000010322.16	NISCH	protein_coding	50.594658	50.4688
ENSG00000010327.10	STAB1	protein_coding	115.15232	44.1058
ENSG00000010361.14	FUZ	protein_coding	10.096222	9.38035
ENSG00000010379.16	SLC6A13	protein_coding	0.7490861	0.1575
ENSG00000010404.18	IDS	protein_coding	13.523517	12.22225
ENSG00000010438.17	PRSS3	protein_coding	0.43366736	0.21965
ENSG00000010539.12	ZNF200	protein_coding	2.5401337	2.1461
ENSG00000010610.10	CD4	protein_coding	77.260956	39.98785
ENSG00000010626.15	LRRC23	protein_coding	7.108163	6.24065
ENSG00000010671.16	BTK	protein_coding	70.37851	58.38025
ENSG00000010704.18	HFE	protein_coding	0.7319256	0.45095
ENSG00000010803.16	SCMH1	protein_coding	36.777985	33.439
ENSG00000010810.17	FYN	protein_coding	31.692286	24.481602
ENSG00000010818.10	HIVEP2	protein_coding	14.921	10.9622
ENSG00000010932.17	FMO1	protein_coding	0.15519646	0.11995
ENSG00000011007.12	ELOA	protein_coding	30.306383	29.075901
ENSG00000011009.11	LYPLA2	protein_coding	54.001163	53.278954
ENSG00000011021.23	CLCN6	protein_coding	21.502031	18.9666
ENSG00000011028.14	MRC2	protein_coding	23.528858	11.6339
ENSG00000011052.21	NME1-NME2	protein_coding	0.0	0.0
ENSG00000011083.9	SLC6A7	protein_coding	0.1546944	0.06155
ENSG00000011105.14	TSPAN9	protein_coding	0.98318374	0.4102
ENSG00000011114.15	BTBD7	protein_coding	13.788206	12.9165
ENSG00000011132.12	APBA3	protein_coding	8.2746725	7.6211996
ENSG00000011143.19	MKS1	protein_coding	2.5837684	2.05195
ENSG00000011198.10	ABHD5	protein_coding	24.18371	17.41275
ENSG00000011201.12	ANOS1	protein_coding	0.13459931	0.0173
ENSG00000011243.18	AKAP8L	protein_coding	50.519855	47.4795
ENSG00000011258.16	MBTD1	protein_coding	31.845085	28.59445
ENSG00000011260.14	UTP18	protein_coding	47.036415	46.01695
ENSG00000011275.19	RNF216	protein_coding	45.235138	42.281998
ENSG00000011295.16	TTC19	protein_coding	40.22204	39.7034
ENSG00000011304.22	PTBP1	protein_coding	137.87306	132.78255
ENSG00000011332.19	DPF1	protein_coding	0.8605542	0.56990004
ENSG00000011347.10	SYT7	protein_coding	0.037747685	0.0225
ENSG00000011376.12	LARS2	protein_coding	9.366431	8.5568
ENSG00000011405.13	PIK3C2A	protein_coding	28.097004	24.8619
ENSG00000011422.12	PLAUR	protein_coding	95.72343	68.92875
ENSG00000011426.11	ANLN	protein_coding	17.971638	13.4634495
ENSG00000011451.21	WIZ	protein_coding	15.756743	15.1343
ENSG00000011454.18	RABGAP1	protein_coding	21.947771	20.14985
ENSG00000011465.18	DCN	protein_coding	0.18964167	0.0429
ENSG00000011478.13	QPCTL	protein_coding	16.625635	14.5278
ENSG00000011485.15	PPP5C	protein_coding	12.902548	11.31385
ENSG00000011523.14	CEP68	protein_coding	24.487833	22.16905
ENSG00000011566.15	MAP4K3	protein_coding	19.965254	15.7818
ENSG00000011590.14	ZBTB32	protein_coding	2.195318	1.6937001
ENSG00000011600.12	TYROBP	protein_coding	591.4568	444.39246
ENSG00000011638.11	TMEM159	protein_coding	16.894793	15.24115
ENSG00000011677.13	GABRA3	protein_coding	0.0095524145	0.0
ENSG00000012048.23	BRCA1	protein_coding	10.901089	8.2487
ENSG00000012061.16	ERCC1	protein_coding	22.503336	21.561401
ENSG00000012124.17	CD22	protein_coding	7.8682895	4.2157497
ENSG00000012171.20	SEMA3B	protein_coding	2.1051385	1.18055
ENSG00000012174.12	MBTPS2	protein_coding	4.623196	4.0495
ENSG00000012211.13	PRICKLE3	protein_coding	6.7509255	5.9875
ENSG00000012223.13	LTF	protein_coding	566.9184	39.5261
ENSG00000012232.9	EXTL3	protein_coding	7.5434313	7.0778503
ENSG00000012504.15	NR1H4	protein_coding	0.008740592	0.0
ENSG00000012660.14	ELOVL5	protein_coding	98.82482	94.509995
ENSG00000012779.11	ALOX5	protein_coding	87.66227	46.487152
ENSG00000012817.16	KDM5D	protein_coding	27.301262	4.65215
ENSG00000012822.16	CALCOCO1	protein_coding	31.592346	29.80825
ENSG00000012963.15	UBR7	protein_coding	26.980024	24.42675
ENSG00000012983.11	MAP4K5	protein_coding	27.036688	24.93605
ENSG00000013016.16	EHD3	protein_coding	8.856336	5.41185
ENSG00000013275.8	PSMC4	protein_coding	71.2544	67.8957
ENSG00000013288.9	MAN2B2	protein_coding	29.503994	28.1213
ENSG00000013293.6	SLC7A14	protein_coding	0.01637202	0.0092
ENSG00000013297.12	CLDN11	protein_coding	0.063398816	0.0363
ENSG00000013306.16	SLC25A39	protein_coding	134.68552	74.72705
ENSG00000013364.19	MVP	protein_coding	42.503387	36.081047
ENSG00000013374.16	NUB1	protein_coding	39.387	38.56535
ENSG00000013375.16	PGM3	protein_coding	5.9216943	5.14355
ENSG00000013392.8	RWDD2A	protein_coding	1.4765779	1.1949999
ENSG00000013441.16	CLK1	protein_coding	214.21074	194.3154
ENSG00000013503.10	POLR3B	protein_coding	5.9218693	5.2123003
ENSG00000013523.11	ANGEL1	protein_coding	13.073236	12.2082
ENSG00000013561.18	RNF14	protein_coding	13.1195545	11.560949
ENSG00000013563.14	DNASE1L1	protein_coding	8.523399	8.164949
ENSG00000013573.17	DDX11	protein_coding	15.236195	13.9394
ENSG00000013583.10	HEBP1	protein_coding	24.245386	23.2206
ENSG00000013588.9	GPRC5A	protein_coding	0.53020525	0.1181
ENSG00000013619.14	MAMLD1	protein_coding	1.3400869	0.5913
ENSG00000013725.14	CD6	protein_coding	27.07939	10.80395
ENSG00000013810.20	TACC3	protein_coding	48.850155	48.752098
ENSG00000014123.10	UFL1	protein_coding	31.68398	29.31455
ENSG00000014138.9	POLA2	protein_coding	2.905618	2.64225
ENSG00000014164.7	ZC3H3	protein_coding	45.019352	42.09285
ENSG00000014216.16	CAPN1	protein_coding	80.64286	78.222595
ENSG00000014257.16	ACP3	protein_coding	14.950462	10.11965
ENSG00000014641.21	MDH1	protein_coding	32.70183	30.327751
ENSG00000014824.14	SLC30A9	protein_coding	20.830847	18.982151
ENSG00000014914.21	MTMR11	protein_coding	8.684864	3.119
ENSG00000014919.13	COX15	protein_coding	14.864817	13.442551
ENSG00000015133.19	CCDC88C	protein_coding	41.763706	40.42115
ENSG00000015153.15	YAF2	protein_coding	18.843435	15.44075
ENSG00000015171.20	ZMYND11	protein_coding	26.735273	21.489151
ENSG00000015285.11	WAS	protein_coding	123.574486	108.8822
ENSG00000015413.9	DPEP1	protein_coding	1.1554418	0.32225
ENSG00000015475.19	BID	protein_coding	40.966465	38.81285
ENSG00000015479.20	MATR3	protein_coding	16.558117	12.4808
ENSG00000015520.15	NPC1L1	protein_coding	0.40619195	0.18544999
ENSG00000015532.10	XYLT2	protein_coding	13.745407	12.3026
ENSG00000015568.13	RGPD5	protein_coding	0.19578126	0.0811
ENSG00000015592.16	STMN4	protein_coding	0.05654887	0.0327
ENSG00000015676.18	NUDCD3	protein_coding	16.66016	15.8496
ENSG00000016082.15	ISL1	protein_coding	0.011766011	0.0
ENSG00000016391.11	CHDH	protein_coding	0.30776265	0.12155
ENSG00000016402.13	IL20RA	protein_coding	0.02217064	0.0
ENSG00000016490.16	CLCA1	protein_coding	0.0145509355	0.0
ENSG00000016602.9	CLCA4	protein_coding	0.029745517	0.0
ENSG00000016864.18	GLT8D1	protein_coding	18.753212	15.66875
ENSG00000017260.20	ATP2C1	protein_coding	55.872627	46.22075
ENSG00000017427.17	IGF1	protein_coding	0.04211251	0.01655
ENSG00000017483.15	SLC38A5	protein_coding	21.01985	16.1358
ENSG00000017797.13	RALBP1	protein_coding	33.85626	32.45205
ENSG00000018189.13	RUFY3	protein_coding	13.405592	12.1259
ENSG00000018236.15	CNTN1	protein_coding	0.25938696	0.018
ENSG00000018280.17	SLC11A1	protein_coding	37.67759	16.836151
ENSG00000018408.15	WWTR1	protein_coding	0.30300167	0.16645
ENSG00000018510.17	AGPS	protein_coding	28.880539	27.016949
ENSG00000018607.7	ZNF806	transcribed_unprocessed_pseudogene	0.0072755665	0.0
ENSG00000018610.15	CXorf56	protein_coding	24.679365	24.46995
ENSG00000018625.15	ATP1A2	protein_coding	0.06845793	0.0315
ENSG00000018699.13	TTC27	protein_coding	20.879776	17.272652
ENSG00000018869.17	ZNF582	protein_coding	1.8318741	1.56125
ENSG00000019102.12	VSIG2	protein_coding	5.7168007	3.7157001
ENSG00000019144.19	PHLDB1	protein_coding	0.8906957	0.41250002
ENSG00000019169.10	MARCO	protein_coding	5.4642277	1.1915
ENSG00000019186.10	CYP24A1	protein_coding	0.03699379	0.017450001
ENSG00000019485.13	PRDM11	protein_coding	4.1299696	2.9638
ENSG00000019505.8	SYT13	protein_coding	0.019509852	0.0
ENSG00000019549.13	SNAI2	protein_coding	0.18149213	0.029
ENSG00000019582.15	CD74	protein_coding	1297.2058	967.85754
ENSG00000019991.18	HGF	protein_coding	19.178968	6.2451
ENSG00000019995.6	ZRANB1	protein_coding	20.854721	18.3564
ENSG00000020129.16	NCDN	protein_coding	12.976924	11.22115
ENSG00000020181.18	ADGRA2	protein_coding	15.864496	8.523951
ENSG00000020219.9	CCT8L1P	processed_pseudogene	0.31886914	0.22455001
ENSG00000020256.20	ZFP64	protein_coding	5.4130697	4.5197
ENSG00000020426.11	MNAT1	protein_coding	6.651092	5.8098497
ENSG00000020577.14	SAMD4A	protein_coding	0.94282687	0.63199997
ENSG00000020633.19	RUNX3	protein_coding	82.54482	57.07925
ENSG00000020922.13	MRE11	protein_coding	24.556026	23.442799
ENSG00000021300.14	PLEKHB1	protein_coding	3.2920797	2.3364
ENSG00000021355.13	SERPINB1	protein_coding	507.31256	457.5022
ENSG00000021461.17	CYP3A43	protein_coding	0.21877408	0.13525
ENSG00000021488.13	SLC7A9	protein_coding	0.2488346	0.167
ENSG00000021574.13	SPAST	protein_coding	14.628606	14.3608
ENSG00000021645.20	NRXN3	protein_coding	0.15533754	0.04625
ENSG00000021762.20	OSBPL5	protein_coding	32.352203	25.247002
ENSG00000021776.11	AQR	protein_coding	18.839972	18.031052
ENSG00000021826.17	CPS1	protein_coding	0.12638848	0.0396
ENSG00000021852.13	C8B	protein_coding	0.013764238	0.0
ENSG00000022267.19	FHL1	protein_coding	18.78897	10.622601
ENSG00000022277.13	RTF2	protein_coding	52.964573	50.95865
ENSG00000022355.18	GABRA1	protein_coding	0.0047387187	0.0
